Date,Pond,Species,Number of exuviae,collection duration,emergence rate,,,,,,,,,,,,,
6/7/17,Railtracks,A. canadensis,,,0.106666667,,,,,,,,,,,,,
6/9/17,Elephant,A. canadensis,,,0.077777778,,,,,,,,,,,,,
6/9/17,Fishless,A. canadensis,,,0.077777778,,,,,,,,,,,,,
6/9/17,Railtracks,A. canadensis,,,0.077777778,,,,,,,,,,,,,
6/12/17,Elephant,A. canadensis,,,0.122222222,,,,,,,,,,,,,
6/12/17,Fishless,A. canadensis,,,0.122222222,,,,,,,,,,,,,
6/12/17,Railtracks,A. canadensis,,,0.122222222,,,,,,,,,,,,,
6/14/17,Elephant,A. canadensis,,,0.077777778,,,,,,,,,,,,,
6/14/17,Fishless,A. canadensis,,,0.077777778,,,,,,,,,,,,,
6/14/17,Railtracks,A. canadensis,,,0.077777778,,,,,,,,,,,,,
6/16/17,Elephant,A. canadensis,,,0.055555556,,,,,,,,,,,,,
6/16/17,Fishless,A. canadensis,,,0.055555556,,,,,,,,,,,,,
6/16/17,Railtracks,A. canadensis,,,0.055555556,,,,,,,,,,,,,
6/20/17,Elephant,A. canadensis,,,0.088888889,,,,,,,,,,,,,
6/20/17,Fishless,A. canadensis,,,0.088888889,,,,,,,,,,,,,
6/20/17,Railtracks,A. canadensis,,,0.088888889,,,,,,,,,,,,,
6/21/17,Elephant,A. canadensis,,,0.032608696,,,,,,,,,,,,,
6/21/17,Fishless,A. canadensis,,,0.032608696,,,,,,,,,,,,,
6/21/17,Railtracks,A. canadensis,,,0.032608696,,,,,,,,,,,,,
6/23/17,Elephant,A. canadensis,,,0.044444444,,,,,,,,,,,,,
6/23/17,Fishless,A. canadensis,,,0.044444444,,,,,,,,,,,,,
6/23/17,Railtracks,A. canadensis,,,0.044444444,,,,,,,,,,,,,
6/26/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
6/26/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
6/26/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
6/27/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
6/27/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
6/27/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
6/29/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
6/29/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
6/29/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/3/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/3/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/3/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/5/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/5/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/5/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/7/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/7/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/7/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/10/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/10/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/10/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/11/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/11/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/11/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/14/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/14/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/14/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/17/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/17/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/17/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/19/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/19/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/19/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/20/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/20/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/20/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/24/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/24/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/24/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/27/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/27/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/27/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/28/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/28/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/28/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
7/31/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
7/31/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
7/31/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/2/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/2/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/2/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/4/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/4/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/4/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/7/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/7/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/7/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/8/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/8/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/8/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/11/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/11/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/11/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/15/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/15/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/15/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/17/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/17/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/17/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/18/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/18/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/18/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/21/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/21/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/21/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/23/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/23/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/23/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
8/25/17,Elephant,A. canadensis,,,0,,,,,,,,,,,,,
8/25/17,Fishless,A. canadensis,,,0,,,,,,,,,,,,,
8/25/17,Railtracks,A. canadensis,,,0,,,,,,,,,,,,,
5/21/18,Elephant,A. canadensis,0,120,0,,,,,,,,,,,,,
5/21/18,Fishless,A. canadensis,0,70,0,,,,,,,,,,,,,
5/21/18,Railtracks,A. canadensis,0,120,0,,,,,,,,,,,,,
5/22/18,Elephant,A. canadensis,0,120,0,,,,,,,,,,,,,
5/22/18,Fishless,A. canadensis,0,70,0,,,,,,,,,,,,,
5/22/18,Railtracks,A. canadensis,0,60,0,,,,,,,,,,,,,
5/23/18,Elephant,A. canadensis,0,60,0,,,,,,,,,,,,,
5/23/18,Fishless,A. canadensis,0,60,0,,,,,,,,,,,,,
5/23/18,Railtracks,A. canadensis,0,60,0,,,,,,,,,,,,,
5/25/18,Elephant,A. canadensis,0,120,0,,,,,,,,,,,,,
5/25/18,Fishless,A. canadensis,0,120,0,,,,,,,,,,,,,
5/25/18,Railtracks,A. canadensis,0,120,0,,,,,,,,,,,,,
5/29/18,Elephant,A. canadensis,1,60,0.016666667,,,,,,,,,,,,,
5/29/18,Fishless,A. canadensis,12,120,0.1,,,,,,,,,,,,,
5/29/18,Railtracks,A. canadensis,0,120,0,,,,,,,,,,,,,
5/31/18,Elephant,A. canadensis,6,120,0.05,,,,,,,,,,,,,
5/31/18,Fishless,A. canadensis,17,120,0.141666667,,,,,,,,,,,,,
5/31/18,Railtracks,A. canadensis,20,120,0.166666667,,,,,,,,,,,,,
6/1/18,Elephant,A. canadensis,4,120,0.033333333,,,,,,,,,,,,,
6/1/18,Fishless,A. canadensis,45,120,0.375,,,,,,,,,,,,,
6/1/18,Railtracks,A. canadensis,20,120,0.166666667,,,,,,,,,,,,,
6/4/18,Elephant,A. canadensis,15,120,0.125,,,,,,,,,,,,,
6/4/18,Fishless,A. canadensis,102,120,0.85,,,,,,,,,,,,,
6/4/18,Railtracks,A. canadensis,34,120,0.283333333,,,,,,,,,,,,,
6/5/18,Elephant,A. canadensis,42,120,0.35,,,,,,,,,,,,,
6/5/18,Fishless,A. canadensis,76,120,0.633333333,,,,,,,,,,,,,
6/5/18,Railtracks,A. canadensis,14,120,0.116666667,,,,,,,,,,,,,
6/7/18,Elephant,A. canadensis,90,120,0.75,,,,,,,,,,,,,
6/7/18,Fishless,A. canadensis,116,120,0.966666667,,,,,,,,,,,,,
6/7/18,Railtracks,A. canadensis,38,120,0.316666667,,,,,,,,,,,,,
6/11/18,Elephant,A. canadensis,45,120,0.375,,,,,,,,,,,,,
6/11/18,Fishless,A. canadensis,41,120,0.341666667,,,,,,,,,,,,,
6/11/18,Railtracks,A. canadensis,13,120,0.108333333,,,,,,,,,,,,,
6/13/18,Elephant,A. canadensis,7,24,0.291666667,,,,,,,,,,,,,
6/13/18,Fishless,A. canadensis,ND,0,#VALUE!,,,,,,,,,,,,,
6/13/18,Railtracks,A. canadensis,ND,0,#VALUE!,,,,,,,,,,,,,
6/14/18,Elephant,A. canadensis,14,66,0.212121212,,,,,,,,,,,,,
6/14/18,Fishless,A. canadensis,24,90,0.266666667,,,,,,,,,,,,,
6/14/18,Railtracks,A. canadensis,32,90,0.355555556,,,,,,,,,,,,,
6/15/18,Elephant,A. canadensis,16,60,0.266666667,,,,,,,,,,,,,
6/15/18,Fishless,A. canadensis,12,60,0.2,,,,,,,,,,,,,
6/15/18,Railtracks,A. canadensis,6,60,0.1,,,,,,,,,,,,,
6/19/18,Elephant,A. canadensis,23,90,0.255555556,,,,,,,,,,,,,
6/19/18,Fishless,A. canadensis,76,120,0.633333333,,,,,,,,,,,,,
6/19/18,Railtracks,A. canadensis,15,90,0.166666667,,,,,,,,,,,,,
6/21/18,Elephant,A. canadensis,20,90,0.222222222,,,,,,,,,,,,,
6/21/18,Fishless,A. canadensis,46,90,0.511111111,,,,,,,,,,,,,
6/21/18,Railtracks,A. canadensis,14,90,0.155555556,,,,,,,,,,,,,
6/22/18,Elephant,A. canadensis,16,90,0.177777778,,,,,,,,,,,,,
6/22/18,Fishless,A. canadensis,56,90,0.622222222,,,,,,,,,,,,,
6/22/18,Railtracks,A. canadensis,6,90,0.066666667,,,,,,,,,,,,,
6/25/18,Elephant,A. canadensis,5,90,0.055555556,,,,,,,,,,,,,
6/25/18,Fishless,A. canadensis,34,90,0.377777778,,,,,,,,,,,,,
6/25/18,Railtracks,A. canadensis,8,90,0.088888889,,,,,,,,,,,,,
6/27/18,Elephant,A. canadensis,2,90,0.022222222,,,,,,,,,,,,,
6/27/18,Fishless,A. canadensis,14,90,0.155555556,,,,,,,,,,,,,
6/27/18,Railtracks,A. canadensis,5,90,0.055555556,,,,,,,,,,,,,
7/2/18,Elephant,A. canadensis,3,90,0.033333333,,,,,,,,,,,,,
7/2/18,Fishless,A. canadensis,6,90,0.066666667,,,,,,,,,,,,,
7/2/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/3/18,Elephant,A. canadensis,3,90,0.033333333,,,,,,,,,,,,,
7/3/18,Fishless,A. canadensis,4,90,0.044444444,,,,,,,,,,,,,
7/3/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/6/18,Elephant,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/6/18,Fishless,A. canadensis,3,90,0.033333333,,,,,,,,,,,,,
7/6/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/9/18,Elephant,A. canadensis,3,90,0.033333333,,,,,,,,,,,,,
7/9/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/9/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/11/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/11/18,Fishless,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/11/18,Railtracks,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/13/18,Elephant,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/13/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/13/18,Railtracks,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/16/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/16/18,Fishless,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/16/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/18/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/18/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/18/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/23/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/23/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/23/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/26/18,Elephant,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/26/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/26/18,Railtracks,A. canadensis,2,90,0.022222222,,,,,,,,,,,,,
7/27/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/27/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/27/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/31/18,Elephant,A. canadensis,ND,ND,#VALUE!,,,,,,,,,,,,,
7/31/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/31/18,Railtracks,A. canadensis,ND,ND,#VALUE!,,,,,,,,,,,,,
8/1/18,Elephant,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
8/1/18,Fishless,A. canadensis,0,15,0,,,,,,,,,,,,,
8/1/18,Railtracks,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
8/6/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
8/6/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/6/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
8/8/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
8/8/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/8/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
8/13/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
8/13/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/13/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
8/15/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
8/15/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/15/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
8/21/18,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
8/21/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/21/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
8/23/18,Elephant,A. canadensis,0,45,0,,,,,,,,,,,,,
8/23/18,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/23/18,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
9/10/18,Fishless,A. canadensis,0,ND,#VALUE!,,,,,,,,,,,,,
9/10/18,Railtracks,A. canadensis,0,ND,#VALUE!,,,,,,,,,,,,,
5/16/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
5/16/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
5/16/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
5/22/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
5/22/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
5/22/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
5/24/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
5/24/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
5/24/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
5/29/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
5/29/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
5/29/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
5/30/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
5/30/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
5/30/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
5/31/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
5/31/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
5/31/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
6/3/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
6/3/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
6/3/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
6/5/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
6/5/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
6/5/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
6/7/19,Elephant,A. canadensis,8,60,0.133333333,,,,,,,,,,,,,
6/7/19,Fishless,A. canadensis,0,60,0,,,,,,,,,,,,,
6/7/19,Railtracks,A. canadensis,0,60,0,,,,,,,,,,,,,
6/10/19,Elephant,A. canadensis,7,90,0.077777778,,,,,,,,,,,,,
6/10/19,Fishless,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
6/10/19,Railtracks,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
6/12/19,Elephant,A. canadensis,31,90,0.344444444,,,,,,,,,,,,,
6/12/19,Fishless,A. canadensis,16,90,0.177777778,,,,,,,,,,,,,
6/12/19,Railtracks,A. canadensis,3,90,0.033333333,,,,,,,,,,,,,
6/14/19,Elephant,A. canadensis,52,90,0.577777778,,,,,,,,,,,,,
6/14/19,Fishless,A. canadensis,13,90,0.144444444,,,,,,,,,,,,,
6/14/19,Railtracks,A. canadensis,4,90,0.044444444,,,,,,,,,,,,,
6/16/19,Elephant,A. canadensis,54,90,0.6,,,,,,,,,,,,,
6/16/19,Fishless,A. canadensis,33,90,0.366666667,,,,,,,,,,,,,
6/16/19,Railtracks,A. canadensis,2,90,0.022222222,,,,,,,,,,,,,
6/19/19,Elephant,A. canadensis,33,90,0.366666667,,,,,,,,,,,,,
6/19/19,Fishless,A. canadensis,10,90,0.111111111,,,,,,,,,,,,,
6/19/19,Railtracks,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
6/21/19,Elephant,A. canadensis,34,90,0.377777778,,,,,,,,,,,,,
6/21/19,Fishless,A. canadensis,34,90,0.377777778,,,,,,,,,,,,,
6/21/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
6/24/19,Elephant,A. canadensis,22,90,0.244444444,,,,,,,,,,,,,
6/24/19,Fishless,A. canadensis,14,90,0.155555556,,,,,,,,,,,,,
6/24/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
6/26/19,Elephant,A. canadensis,8,90,0.088888889,,,,,,,,,,,,,
6/26/19,Fishless,A. canadensis,27,90,0.3,,,,,,,,,,,,,
6/26/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
6/28/19,Elephant,A. canadensis,4,90,0.044444444,,,,,,,,,,,,,
6/28/19,Fishless,A. canadensis,11,90,0.122222222,,,,,,,,,,,,,
6/28/19,Railtracks,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/1/19,Elephant,A. canadensis,5,90,0.055555556,,,,,,,,,,,,,
7/1/19,Fishless,A. canadensis,14,90,0.155555556,,,,,,,,,,,,,
7/1/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/3/19,Elephant,A. canadensis,2,90,0.022222222,,,,,,,,,,,,,
7/3/19,Fishless,A. canadensis,5,90,0.055555556,,,,,,,,,,,,,
7/3/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/7/19,Elephant,A. canadensis,4,90,0.044444444,,,,,,,,,,,,,
7/7/19,Fishless,A. canadensis,14,90,0.155555556,,,,,,,,,,,,,
7/7/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/9/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/9/19,Fishless,A. canadensis,4,90,0.044444444,,,,,,,,,,,,,
7/9/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/10/19,Elephant,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/10/19,Fishless,A. canadensis,3,90,0.033333333,,,,,,,,,,,,,
7/10/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/12/19,Elephant,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/12/19,Fishless,A. canadensis,3,90,0.033333333,,,,,,,,,,,,,
7/12/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/15/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/15/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/15/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/17/19,Elephant,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/17/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/17/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/19/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/19/19,Fishless,A. canadensis,4,90,0.044444444,,,,,,,,,,,,,
7/19/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/22/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/22/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/22/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/25/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/25/19,Fishless,A. canadensis,1,90,0.011111111,,,,,,,,,,,,,
7/25/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/26/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/26/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/26/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
7/29/19,Elephant,A. canadensis,0,60,0,,,,,,,,,,,,,
7/29/19,Fishless,A. canadensis,0,60,0,,,,,,,,,,,,,
7/29/19,Railtracks,A. canadensis,0,60,0,,,,,,,,,,,,,
7/31/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
7/31/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
7/31/19,Railtracks,A. canadensis,ND,ND,#VALUE!,,,,,,,,,,,,,
8/2/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
8/2/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/2/19,Railtracks,A. canadensis,0,90,0,,,,,,,,,,,,,
8/5/19,Elephant,A. canadensis,0,0,#DIV/0!,,,,,,,,,,,,,
8/5/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/5/19,Railtracks,A. canadensis,0,0,#DIV/0!,,,,,,,,,,,,,
8/7/19,Elephant,A. canadensis,0,130,0,,,,,,,,,,,,,
8/7/19,Fishless,A. canadensis,0,90,0,,,,,,,,,,,,,
8/7/19,Railtracks,A. canadensis,0,130,0,,,,,,,,,,,,,
8/9/19,Elephant,A. canadensis,0,90,0,,,,,,,,,,,,,
