This data has been provided by the Utah Climate Center. Please cite the Climate Center when using this data.,,
Station Network,GHCN:COOP,
6/30/2017,16.1,23.3
7/1/2017,15,27.2
7/2/2017,15,25.6
7/3/2017,13.9,27.2
7/4/2017,16.7,28.3
7/5/2017,19.4,30.6
7/6/2017,18.3,32.8
7/7/2017,16.1,33.3
7/8/2017,13.9,33.3
7/9/2017,15.6,28.9
7/10/2017,17.8,27.2
7/11/2017,15.6,29.4
7/12/2017,17.2,29.4
7/13/2017,12.2,30
7/14/2017,12.2,20
7/15/2017,13.9,25.6
7/16/2017,16.7,31.7
7/17/2017,17.2,28.3
7/18/2017,18.9,33.3
7/19/2017,16.1,25.6
7/20/2017,16.7,27.2
7/21/2017,17.8,32.2
7/22/2017,18.9,29.4
7/23/2017,16.7,31.7
7/24/2017,13.9,25
7/25/2017,16.1,27.2
7/26/2017,18.9,28.3
7/27/2017,15.6,30
7/28/2017,15,29.4
7/29/2017,16.7,30
7/30/2017,16.7,31.7
7/31/2017,18.3,32.2
8/1/2017,18.3,31.7
8/2/2017,16.1,31.7
8/3/2017,13.9,27.8
8/4/2017,10,16.7
8/5/2017,12.2,26.7
8/6/2017,13.3,26.1
8/7/2017,12.2,26.1
8/8/2017,13.3,27.8
8/9/2017,14.4,28.9
8/10/2017,15.6,22.2
8/11/2017,12.8,23.3
8/12/2017,12.8,26.1
8/13/2017,13.3,27.2
8/14/2017,15,20.6
8/15/2017,12.2,24.4
8/16/2017,13.3,26.7
8/17/2017,16.7,24.4
8/18/2017,13.3,20.6
8/19/2017,14.4,23.3
8/20/2017,15.6,28.9
8/21/2017,15.6,30
8/22/2017,13.3,23.9
8/23/2017,10,25
8/24/2017,10.6,24.4
8/25/2017,10.6,25
8/26/2017,10.6,25
8/27/2017,10.6,24.4
8/28/2017,16.1,22.8
8/29/2017,11.7,23.9
8/30/2017,12.2,27.2
8/31/2017,11.1,27.8
9/1/2017,10,23.3
9/2/2017,10.6,23.3
9/3/2017,13.3,27.8
9/4/2017,13.3,31.1
9/5/2017,7.8,20
9/6/2017,6.7,20
9/7/2017,6.7,20
9/8/2017,8.3,19.4
9/9/2017,9.4,21.7
9/10/2017,10.6,24.4
9/11/2017,14.4,27.2
9/12/2017,14.4,28.9
9/13/2017,15,30.6
9/14/2017,17.2,30.6
9/15/2017,17.8,31.7
9/16/2017,18.9,28.3
9/17/2017,8.9,25
9/18/2017,9.4,21.7
9/19/2017,11.1,15.6
9/20/2017,14.4,26.7
9/21/2017,10,26.7
9/22/2017,10.6,28.9
9/23/2017,21.7,33.9
9/24/2017,20,32.8
9/25/2017,14.4,33.9
9/26/2017,12.8,16.7
9/27/2017,7.2,17.8
9/28/2017,7.8,21.1
9/29/2017,6.7,25
9/30/2017,5.6,19.4
10/1/2017,7.2,22.8
10/2/2017,11.1,17.8
10/3/2017,11.7,17.8
10/4/2017,5.6,21.7
10/5/2017,6.1,17.8
10/6/2017,8.9,16.7
10/7/2017,8.9,16.7
10/8/2017,11.1,20.6
10/9/2017,4.4,22.8
10/10/2017,0,14.4
10/11/2017,-0.6,13.9
10/12/2017,1.1,15
10/13/2017,7.8,18.3
10/14/2017,5.6,18.3
10/15/2017,3.9,18.3
10/16/2017,3.3,14.4
10/17/2017,3.9,19.4
10/18/2017,6.7,23.9
10/19/2017,5.6,23.9
10/20/2017,6.1,23.9
10/21/2017,11.7,26.1
10/22/2017,7.8,18.9
10/23/2017,8.3,20
10/24/2017,5,17.8
10/25/2017,2.8,10
10/26/2017,1.7,13.9
10/27/2017,0,15
10/28/2017,-2.8,1.7
10/29/2017,-2.2,1.7
10/30/2017,-2.2,4.4
10/31/2017,-2.2,4.4
11/1/2017,-4.4,2.2
11/2/2017,-1.7,2.8
11/3/2017,-5,5
11/4/2017,-5.6,2.2
11/5/2017,-5.6,5.6
11/6/2017,-8.3,2.8
11/7/2017,-8.3,2.8
11/8/2017,-6.1,3.9
11/9/2017,-10,5.6
11/10/2017,-13.3,-4.4
11/11/2017,-12.2,-0.6
11/12/2017,-7.2,7.8
11/13/2017,-7.2,5
11/14/2017,-7.2,6.1
11/15/2017,2.2,6.1
11/16/2017,-3.9,4.4
11/17/2017,-3.9,2.8
11/18/2017,-1.7,3.3
11/19/2017,-11.1,3.9
11/20/2017,-10,3.9
11/21/2017,-6.1,6.1
11/22/2017,-12.2,0
11/23/2017,-11.7,-1.1
11/24/2017,-6.7,8.3
11/25/2017,-1.7,15.6
11/26/2017,-5.6,5.6
11/27/2017,-1.7,10.6
11/28/2017,-1.7,13.9
11/29/2017,-5.6,12.8
11/30/2017,-5.6,8.3
12/1/2017,-2.8,11.1
12/2/2017,-3.3,8.9
12/3/2017,-2.8,11.7
12/4/2017,-2.8,11.7
12/5/2017,-8.9,12.2
12/6/2017,-11.1,-5
12/7/2017,-15,-7.8
12/8/2017,-14.4,-5
12/9/2017,-14.4,-0.6
12/10/2017,-11.1,-5
12/11/2017,-7.2,1.1
12/12/2017,-17.8,1.7
12/13/2017,-17.8,-4.4
12/14/2017,-10.6,-4.4
12/15/2017,-10.6,-5
12/16/2017,-10,-3.3
12/17/2017,-8.9,-0.6
12/18/2017,-7.8,-2.2
12/19/2017,-4.4,3.3
12/20/2017,-10,3.3
12/21/2017,-10,-7.8
12/22/2017,-10.6,-4.4
12/23/2017,-13.9,-2.8
12/24/2017,-13.9,-3.9
12/25/2017,-21.1,-4.4
12/26/2017,-31.7,-18.3
12/27/2017,-31.7,-18.9
12/28/2017,-26.7,-13.9
12/29/2017,-25.6,-11.7
12/30/2017,-29.4,-17.2
12/31/2017,-29.4,-20
1/1/2018,-28.9,-18.9
